ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1304,4316857.142857143,5107542.857142857,5820771.428571428,7074828.571428572,10426714.285714285,9195371.42857143,9166828.57142857,8676580.459770115,8321628.571428572,8204789.915966387,8551484.593837535,7994173.669467787,8327966.573816156,8277944.444444444,8509778.3933518,9095263.157894736,11171320.77562327,12239295.567867037,13680889.100817438,19947734.69387755,21759797.093023255,22012086.340206187,27505312.853470437,26799052.185089976,23169203.836317137,20075136.061381076,20066086.95652174,20066519.181585677,21641462.404092073,22860862.148337595
1305,7497829.069767442,10163127.413127413,11987490.347490348,14624942.084942086,18864980.694980696,17600888.030888032,17972934.362934362,16143854.961832061,14976463.878326995,14537832.699619772,14483269.961977186,14738365.019011406,14683269.961977186,13803155.893536123,14007680.60836502,14810339.62264151,18770288.301886793,19946710.188679244,21690146.06741573,28385746.41509434,29759845.112781953,32761974.253731344,40077517.53731343,39577540.67164179,36408231.46067416,32499172.3880597,30918329.10447761,30594339.700374532,31801772.3880597,34291267.1641791
1306,8722898.550724637,10539420.289855072,12691557.971014492,15497391.304347826,21733152.173913043,19819202.898550726,22468623.188405797,21521920.289855074,19215253.623188406,17947769.78417266,18708489.208633095,18946726.618705034,19147275.985663082,19439569.892473117,20029498.207885306,20960681.00358423,25757683.512544803,27256032.974910393,28865065.949820787,37980937.36263736,39560169.708029196,40469780.0,51994972.14285714,49706132.85714286,55069276.428571425,46691658.928571425,45174189.28571428,45282510.71428572,46314798.928571425,50913392.14285714
1307,5306298.870056497,8457118.644067796,10014378.531073445,11104265.536723163,15607983.19327731,15725938.37535014,15736778.711484594,14499777.158774374,12999777.158774374,11914456.824512536,11755626.740947075,12092757.660167132,11991364.902506964,11775264.623955432,12263314.763231197,13037938.718662953,17415300.557103064,18884069.91643454,20153098.050139274,28602409.97229917,30587174.515235458,33147163.434903048,38855837.74104683,36764461.538461536,33335891.758241758,28202753.424657535,27452546.575342465,27516816.438356165,29128712.328767125,31667301.369863015
1301,2658333.0845771143,3562388.0597014925,4101442.7860696516,5709900.497512437,9233283.582089553,8911616.915422885,9067764.127764128,9149407.407407407,10780780.487804879,10519414.634146342,10027219.512195121,10170193.236714976,10232995.169082126,9443864.734299516,9711622.91169451,10261394.799054373,12790969.26713948,13740040.189125296,15157701.631701631,20384092.60969977,21363620.04608295,23415114.898419864,28107682.969432313,27618880.56768559,23862001.086956523,20508484.663865548,20428094.957983192,20691645.37815126,21047392.01680672,22089816.041666668
1302,3314864.864864865,5091837.837837838,5554054.054054054,6523135.135135135,9629135.135135135,7024702.702702703,6956737.967914439,9096236.559139784,8459572.192513369,8233796.79144385,8407486.631016042,8236613.7566137565,8346402.116402117,7963517.587939698,8209045.226130653,8839447.236180905,10412041.20603015,11471292.462311558,13159105.714285715,19144367.346938774,20127448.469387755,20657374.76190476,25245119.04761905,24867021.698113207,22622706.603773586,18996251.85185185,19341391.666666668,19315736.574074075,20344274.537037037,21336746.296296295
1303,374213807.5949367,571991864.1975309,624731762.962963,659088671.6049383,659741733.3333334,299603373.4939759,344814216.8674699,464563498.79518074,495096506.02409637,487745542.1686747,474193493.97590363,480154096.38554215,487974470.5882353,473982359.5505618,477170898.8764045,490570219.7802198,582095164.8351648,591316487.9120879,589787494.5652174,540625141.3043479,537984190.2173913,612189176.344086,837751086.0215054,768075990.3225807,820725873.1182796,791850537.6344086,804249156.8421053,815050315.7894737,836869368.4210526,917222527.3684211
1612,9903037.190082645,15196659.793814434,16976226.80412371,19958701.030927837,25256041.2371134,23041505.154639177,23249485.596707817,21427674.897119343,19190267.489711933,19030347.64826176,18136237.218813907,18372617.586912066,18570736.196319018,18604887.525562372,18972453.98773006,19469447.852760736,25284740.81632653,26116675.96741344,27752085.222672064,34373233.95061728,34798750.82304527,37158190.28340081,45438453.238866396,44315771.86234818,43454118.421052635,41040074.89959839,40917907.02811245,40902568.875502005,42985556.2248996,44121079.91967872
1308,5417186.805555556,7455381.944444444,9279178.08219178,11865479.452054795,16772081.911262799,16668020.477815699,16737849.829351535,15054061.433447098,13446587.030716723,12110580.204778157,12131604.09556314,12366655.290102389,12200341.296928328,12205870.307167236,12791331.058020478,13529795.221843004,18722866.894197952,19767612.969283275,21859743.537414964,31223574.570446737,33203124.39862543,35666303.06122449,41713000.0,39109875.59322034,34846720.0,29332577.627118643,28258561.694915254,28127321.01694915,29942873.559322033,32686462.033898305
1309,6159635.854341737,7882549.019607843,9624005.602240896,12077787.114845939,17491944.444444444,15689555.555555556,15870361.111111112,14514555.555555556,14399277.777777778,13184805.555555556,13220886.426592797,13545623.26869806,13420304.709141275,13611772.853185596,14013157.894736841,14895595.567867037,19567174.515235458,20992770.637119114,22876945.152354572,31358335.127478752,33063312.464589234,34838040.77134986,40296674.93112948,37450641.32231405,33376038.08219178,28852564.657534245,28033906.301369864,27985588.493150685,29245237.534246575,31207987.94520548
