ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1304,2580000,3780000,4455000,5740000,10475000,10240000,10475000,9780000,9450000,8720000,8930000,8160000,8050000,8000000,8270000,8580000,10110000,11520000,13570000,21670000,22920000,20245000,26910000,25760000,22716000,21870000,22630000,22410000,23950000,24990000
1305,4800000,5500000,6590000,8550000,14470000,14470000,14500000,13135000,11870000,11110000,11060000,11400000,11210000,10380000,10790000,11320000,14970000,16950000,19100000,27390000,29430000,31425000,39925000,38784500,33300000,27750000,26825000,26450000,27875000,28290000
1306,5470000,6750000,8540000,11015000,16930000,16955000,17175000,15860000,13975000,12455000,12205000,12425000,12380000,12720000,13440000,14150000,19970000,21150000,23610000,31740000,35255000,38920000,48410000,46695000,41420000,34870000,33805000,33805000,35480000,38110000
1307,3990000,6270000,7920000,10195000,15610000,15580000,15680000,14780000,13040000,11670000,11170000,11430000,11150000,10890000,11510000,12320000,17250000,18590000,20620000,29930000,32240000,35240000,41810000,39355000,35495000,29700000,28760000,28860000,30270000,32940000
1301,1905000,2250000,2575000,3310000,7450000,8300000,8500000,8470000,8250000,7510000,6470000,6430000,6390000,4920000,6170000,7250000,10730000,12200000,14160000,18550000,19070000,20410000,25990000,24064250,22960000,19780000,19645750,20390000,20418300,20925000
1302,2200000,3340000,3970000,5260000,10870000,8620000,7850000,10645000,9990000,9250000,8860000,9040000,8630000,8120000,8450000,9550000,11380000,12510000,15085000,21935000,23160000,23140000,29117000,28155000,23982850,20580000,20630000,20760000,21505000,22245000
1303,5280000,7600000,9860000,12160000,17230000,17230000,17350000,15920000,13370000,12710000,12100000,12350000,12880000,14350000,14920000,15770000,21740000,23130000,24595000,30520000,31355000,33570000,46210000,46290000,42050000,38850000,36580000,37530000,38540000,38830000
1612,5890000,7480000,8630000,10530000,14320000,14320000,14335000,12505000,11880000,11430000,12160000,12340000,12300000,12520000,12990000,13460000,17680000,18770000,21005000,27610000,27835000,29305000,34910000,33410000,32160000,30625000,30440000,30460000,32110000,32770000
1308,5120000,6970000,8800000,11405000,17460000,17480000,17480000,15800000,13950000,12360000,12160000,12470000,12260000,12320000,13020000,13710000,19510000,20560000,22955000,33560000,36590000,40105000,47775000,45390000,40070000,32700000,31480000,31400000,33560000,36680000
1309,4860000,6540000,8220000,10550000,16575000,16575000,16605000,15280000,13515000,12100000,11970000,12280000,12060000,12250000,12940000,13710000,19000000,20370000,22687000,32200000,34900000,38110000,44700000,41880000,37550000,31280000,30250000,30260000,31670000,33860000
1509,5480000,6975000,8855000,11090000,15030000,15050000,15035000,15055000,13270000,12635000,11805000,12190000,11815000,11005000,11470000,12105000,18475000,19840000,22180000,34105000,36540000,40090000,45245000,43510000,32460000,28680000,26370000,26370000,27480000,29080000
0405,15760000,27350000,33570000,39515000,47855000,40780000,40640000,32485000,29625000,29430000,32620000,32950000,35380000,37350000,37350000,41220000,62200000,64000000,70675000,83325000,81450000,84625000,87500000,92250000,95600000,90200000,86800000,90100000,99500000,120500000
1409,3790000,5190000,6590000,8010000,13495000,13435000,13570000,13150000,12175000,11565000,11590000,11595000,11360000,12155000,12300000,12650000,15440000,17080000,20180000,27605000,29755000,32340000,42150000,42230000,32630000,26485000,25700000,25250000,25780000,26770000
1109,4910000,9005000,11280000,12990000,16570000,16400000,16370000,15695000,13750000,13250000,14120000,14530000,15760000,15710000,16500000,17475000,24025000,24380000,26460000,36155000,36080000,39690000,44161900,41100000,36710000,37300000,36890000,36710000,39250000,40350000
2019,8380000,10265000,12575000,14470000,18415000,18395000,18390000,15670000,15675000,15650000,17060000,17380000,17785000,18945000,20200000,20965000,25620000,27275000,29660000,35330000,37560000,38690000,42680000,39570000,39380000,39450000,38930000,39260000,41080000,41220000
