ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1304,1056.0753768844222,1485.9849246231156,1770.321608040201,2308.422110552764,3964.246231155779,3994.6934673366836,4091.7336683417084,3755.391959798995,3557.522613065327,3554.3058252427186,3442.3155339805826,3530.859223300971,3492.8883495145633,3468.719806763285,3600.951923076923,3764.644230769231,4847.2932692307695,5433.5817307692305,6478.0,9101.37668161435,10142.013392857143,11067.038793103447,13471.603448275862,13169.0,11186.678111587982,10004.072961373391,10120.605150214593,10137.497854077254,10879.532188841202,11272.45922746781
1305,1687.0335195530727,2220.3296089385476,2656.122905027933,3342.877094972067,5085.446927374302,5056.770949720671,5099.793296089386,4730.540983606557,4327.650273224043,4072.967213114754,3973.6284153005463,4107.142076502732,3970.9180327868853,3760.497267759563,3870.382513661202,4051.179347826087,5641.114130434783,6184.576086956522,7068.731182795699,9394.78494623656,10168.732620320856,11171.342245989305,13687.5935828877,13353.14973262032,11920.83422459893,10525.12834224599,10229.304812834225,10222.636363636364,10752.941176470587,11628.395721925133
1306,1596.5747663551401,2064.5233644859813,2590.733644859813,3336.2242990654204,5039.397196261682,5060.313084112149,5098.191588785046,4721.294392523365,4186.434579439252,3801.4861111111113,3762.064814814815,3837.412037037037,3764.73732718894,3921.7188940092165,4121.345622119816,4371.695852534563,6017.995391705069,6386.405529953917,7090.428571428572,9402.608294930875,10363.677419354839,11389.142857142857,14332.746543778801,13812.193548387097,12363.84792626728,10838.921658986175,10496.350230414746,10520.364055299538,11049.364055299538,11872.654377880184
1307,1684.3854166666667,2460.715277777778,3071.8194444444443,3919.25,5693.893470790378,5674.714776632302,5716.817869415808,5282.630136986301,4738.092465753424,4275.575342465753,4193.222602739726,4316.229452054795,4217.390410958904,4118.917808219178,4310.70205479452,4603.801369863014,6410.479452054795,6878.897260273972,7568.58904109589,10854.068027210884,11700.891156462585,12936.965986394558,15567.799319727892,14873.142372881355,13616.752542372882,11646.108474576271,11339.261016949153,11348.810169491526,11996.128813559322,12816.077966101695
1301,1086.712962962963,1470.2175925925926,1739.5833333333333,2253.0046296296296,3919.402777777778,4050.125,4077.637614678899,4131.45,3843.4863636363634,3654.1045454545456,3405.5318181818184,3444.4045454545453,3423.05,3018.6863636363637,3231.3288888888887,3490.406113537118,4956.986899563319,5741.772925764192,6683.9914163090125,9573.949367088608,10173.659663865546,11028.204081632653,13485.23137254902,13236.73725490196,11336.24705882353,9872.660447761195,9889.123134328358,10063.208955223881,10583.313432835821,10820.435424354244
1302,937.1894736842105,1366.6421052631579,1629.5157894736842,2215.1052631578946,4596.263157894737,4864.473684210527,4806.2947368421055,4227.515789473684,3934.0421052631577,3749.7894736842104,3715.7157894736843,3858.084210526316,3814.915789473684,3500.605769230769,3634.230769230769,4228.682692307692,5451.365384615385,6203.288461538462,7964.254385964912,11170.245614035088,11677.166666666666,12880.394736842105,13903.868421052632,13720.578947368422,12167.307017543859,10803.771186440677,10835.72033898305,10884.805084745763,11504.618644067798,11618.084745762711
1303,2529.1666666666665,3637.3636363636365,4447.840909090909,5398.363636363636,7451.772727272727,7481.021739130435,7491.065217391304,6598.239130434783,5824.586956521739,5550.260869565217,5401.065217391304,5522.5,5690.717391304348,6026.063829787234,6354.404255319149,6587.604166666667,9155.666666666666,9494.75,10509.102040816326,12906.285714285714,13213.122448979591,14552.816326530612,19134.102040816328,18600.775510204083,17836.26530612245,16286.408163265307,16007.69387755102,16034.69387755102,16751.69387755102,17223.38775510204
1102,1374.2377049180327,1959.122950819672,2278.520325203252,2888.0731707317073,3968.479674796748,4033.6747967479673,4087.3252032520327,4025.4065040650407,3708.642276422764,3473.7642276422766,3333.0162601626016,3418.7804878048782,3374.8536585365855,3627.4146341463415,3786.5040650406504,4101.845528455285,6095.585365853659,6751.991869918699,7467.30081300813,10438.984,10527.784,11393.592,14465.015748031496,14004.322834645669,12464.07874015748,11415.3,11586.261538461538,11609.907692307692,11846.438461538462,12491.1
1308,1703.7672413793102,2356.853448275862,2969.8389830508477,3759.758474576271,5426.4135021097045,5414.5864978902955,5424.493670886076,4881.839662447257,4374.729957805907,3938.53164556962,3921.084388185654,3986.3459915611816,3903.6540084388184,3922.4641350210973,4108.991561181435,4334.236286919831,5988.223628691983,6374.565400843881,7080.84388185654,9980.856540084389,10700.42194092827,11751.831223628691,14039.097046413503,13543.12658227848,12252.274261603376,10545.417721518987,10236.075949367088,10196.5611814346,10966.894514767933,11873.139240506329
1309,1673.1466165413533,2210.0413533834585,2768.3345864661655,3554.191729323308,5414.420074349442,5413.345724907063,5416.899628252788,4997.516728624535,4488.758364312268,4031.5130111524163,4035.9888475836433,4147.28624535316,4055.542750929368,4183.877323420074,4386.382899628253,4637.609665427509,6257.698884758364,6865.672862453532,7640.672862453532,10519.0,11355.25278810409,12504.557620817845,15201.472118959107,14572.412639405204,13204.843866171004,11304.546468401488,10987.981412639405,11007.449814126394,11610.289962825278,12388.0
0410,2753.5,4900.0,5978.5,8210.833333333334,10409.0,10542.666666666666,10824.5,7780.666666666667,7363.666666666667,8245.666666666666,9014.666666666666,9383.5,9949.666666666666,10810.166666666666,11593.5,11776.666666666666,14881.333333333334,15875.166666666666,13977.714285714286,15767.57142857143,16272.285714285714,17619.714285714286,20315.0,21779.14285714286,22480.0,20692.14285714286,17464.625,17690.875,21261.75,23532.5
2212,4204.719063545151,5280.826086956522,6393.568561872909,7541.678929765886,9352.632107023412,9431.090301003345,9430.48344370861,8621.582781456953,7727.228476821192,7709.367549668874,8245.208609271524,8554.400662251655,8989.380794701987,9607.281456953642,9990.745033112582,10574.264900662252,14021.152317880795,14823.44701986755,16188.632450331126,19637.046357615895,20667.20860927152,21540.248344370862,23138.188741721853,22342.115894039736,21752.990066225164,20433.615894039736,20233.453642384105,20339.062913907284,21037.73178807947,22615.895081967214
1103,1942.6356589147288,2597.6434108527133,2997.279069767442,3632.031007751938,4931.573643410853,4165.434108527132,4196.162790697675,3969.217054263566,3682.0232558139537,3471.4573643410854,3342.7131782945735,3379.6589147286822,3345.5891472868216,3606.4728682170544,3729.8062015503874,3884.9147286821703,5798.62015503876,6432.84496124031,7025.341085271318,9687.654135338345,8687.73717948718,10073.76923076923,13002.397435897436,12829.326923076924,11562.320512820514,11313.371794871795,11186.97435897436,11178.192307692309,11457.205128205129,11918.99358974359
0405,4318.148148148148,7600.259259259259,9399.555555555555,10959.222222222223,14042.74074074074,11743.777777777777,11744.018518518518,9316.611111111111,8622.722222222223,8525.018518518518,9584.611111111111,10499.407407407407,11146.222222222223,12458.351851851852,12614.537037037036,13393.037037037036,20893.796296296296,23075.88888888889,26040.436363636363,31745.98181818182,32967.67272727273,34580.218181818185,37669.527272727275,38461.236363636366,39459.03636363636,38463.781818181815,38362.10909090909,40515.67272727273,44204.98181818182,47046.66071428572
