ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1304,1176,1576,1878,2434,4218,4218,4275,3994,3729,3566,3414,3522,3521,3550,3696,3854,4865,5398,6530,9024,9916,10733,13283,13063,11074,9430,9481,9327,9918,10123
1305,1509,1854,2236,2912,4699,4669,4669,4246,3948,3705,3502,3623,3623,3462,3570,3720,5309,5686,6602,9252,10020,11012,13391,13312,11495,9814,9505,9396,9817,10494
1306,1550,1971,2505,3191,4920,4903,4903,4583,4038,3628,3553,3619,3591,3665,3881,4095,5723,6154,6885,9379,10331,11323,14240,13677,12141,10307,9904,9904,10197,11191
1307,1509,2162,2748,3506,5167,5149,5170,4756,4184,3736,3681,3776,3782,3731,3943,4215,5862,6271,7036,10239,11036,12156,14593,14055,12443,10257,9845,9922,10505,11548
1301,954,1318,1582,2056,3797,3843,3876,3728,3465,3315,3127,3250,3230,2868,3067,3166,4574,5326,6212,9104,9836,10690,12704,12616,10278,8840,8932,9010,9546,9815
1302,891,1171,1409,2015,3991,4129,4325,3846,3575,3396,3195,3324,3298,3237,3318,3620,4727,5704,6598,8841,9479,10250,12359,12242,10169,9140,9152,9207,9891,9555
1303,2338,3447,4372,5185,7200,7200,7200,6909,5930,5327,5290,5430,5666,6220,6629,6769,9279,9652,10511,12785,12785,13617,18016,17682,16135,14447,14301,14403,14764,15454
1102,1267,1830,2201,2698,3754,3873,4071,4062,3731,3491,3228,3312,3297,3455,3624,3860,5849,6555,7321,9662,9662,10590,14062,13651,12290,11068,10855,10928,11267,11916
1308,1474,2001,2541,3288,4940,4940,4940,4482,3954,3521,3489,3555,3513,3537,3743,3950,5540,5907,6677,9713,10535,11567,13695,13209,11704,9586,9222,9229,9924,10953
1309,1545,2029,2574,3302,5123,5165,5186,4703,4183,3758,3775,3897,3809,3929,4146,4418,6029,6526,7300,9875,10645,11799,14438,13859,12305,10479,10135,10135,10808,11662
0410,2997,5050,5935,8078,9121,9121,9350,6923,6132,6136,6489,6635,7102,8213,7896,8644,11122,12173,11900,12984,13363,13840,16087,17064,16540,15545,14645,14897,17258,18912
2212,4016,5054,6080,7261,8839,8863,8894,8215,7220,7220,7762,8162,8474,9237,9653,10225,13655,14523,15917,19554,20509,21307,22810,21774,21096,19798,19580,19548,20470,22121
1103,1135,1846,2176,2624,3711,3669,3739,3554,3303,3173,2970,3041,3052,3367,3471,3667,5106,5629,6267,8275,7832,9218,11781,11752,10953,10305,9991,9944,9829,10303
0405,4072,8266,10220,12227,14741,11093,12008,9290,8963,8963,10304,11365,11930,12400,12480,13103,22100,25150,29138,35887,37024,39431,40134,42544,42583,41678,41259,43589,47881,51056
